thisRow.t,notes,session,generation,trial,selected_id,rt,mode,participant,session,fullscreen,
,,001,10,6,3,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,7,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,8,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,9,8,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,10,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,10,11,11,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,0,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,1,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,2,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,3,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,4,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,5,10,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,6,1,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,7,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,8,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,9,6,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,10,7,0.5,ideal_observer,jhgkjhgkjhg,001,False,
,,001,11,11,0,0.5,ideal_observer,jhgkjhgkjhg,001,False,
